Image,L,A,B,
1,70.92,-33.22,0.29,
2,55.4,11.58,-25.06,
3,43.17,-15.08,22.44,
4,50.12,-2.93,-21.79,
5,65.43,17.18,17.21,
6,37.85,12.72,14.07,
7,62.06,33.37,56.24,
8,40.59,16.15,-45.14,
9,50.58,47.55,15.17,
10,30.51,25.11,-21.74,
11,72.31,-27.84,57.83,
12,71.43,15.5,67.8,
13,52.41,-18.46,-26.64,
14,51.74,51.26,-15.48,
15,81.08,0.33,77.55,
16,41.53,52.67,26.92,
17,55.26,-41.23,32.03,
18,29.46,20.74,-49.34,
19,96.49,0.35,0.96,
20,81.17,0.69,-0.24,
21,66.84,0.71,-0.25,
22,50.86,0.2,0.55,
23,40.61,0.36,-1.44,
24,35.4,0.47,-1.27,
