Date,Time,Class,Name,L_initial,A_initial,B_initial,L_calib,A_calib,B_calib,D_Score,Notes
2025-08-13,16:41:04,Black,2025_02_18_3325,10.62,5.0,3.27,14.52,5.47,2.3,5,The minimum LAB Euclidean distance has been updated from -1.0000 to 13.5627. The maximum LAB Euclidean distance has been updated from -1.0000 to 17.6097.
2025-08-13,16:41:04,Black,2025_02_18_3326,10.77,4.52,3.14,14.62,5.01,2.16,5,
2025-08-13,16:41:04,Black,2025_02_18_3327,8.52,3.89,1.67,12.86,4.24,0.76,9,
2025-08-13,16:41:04,Black,2025_02_18_3328,9.67,4.19,2.33,13.75,4.6,1.39,7,
2025-08-13,16:41:04,Black,2025_02_18_3329,9.87,3.95,2.42,13.9,4.39,1.47,7,
2025-08-13,16:41:04,Black,2025_02_18_3330,10.8,4.9,3.06,14.63,5.35,2.11,5,
2025-08-13,16:41:04,Black,2025_02_18_3331,10.56,4.8,3.14,14.46,5.27,2.17,5,
2025-08-13,16:41:04,Black,2025_02_18_3332,12.23,6.51,4.42,15.78,7.02,3.46,1,
2025-08-13,16:41:04,Black,2025_02_18_3333,10.25,4.51,2.55,14.19,4.93,1.62,6,
2025-08-13,16:41:04,Black,2025_02_18_3334,11.4,5.04,3.15,15.07,5.5,2.22,4,
